,SiteID,Site Timezone,Data Timezone,Longitude,Latitude,Country
0,244138,-5,0,-81.3425,44.19376,Canada
1,30891,-6,0,-92.00183,44.77519,United States
2,56031,-6,0,-90.08005,41.138218,United States
3,58085,-6,0,-89.80737,40.07935,United States
4,282816,-5,0,-79.42111,46.69649,Canada
5,118158,-5,0,-88.08142,47.877018,United States
6,88246,-6,0,-88.602905,41.399265,United States
7,178499,-5,0,-84.32507,41.00729,United States
8,326920,-5,0,-77.36267,42.04804,United States
9,164677,-5,0,-85.75464,49.03798,Canada
10,146210,-5,0,-86.77515,49.228107,Canada
11,73348,-5,0,-90.678375,48.985878,Canada
12,80931,-6,0,-89.16516,42.7933,United States
13,68213,-6,0,-89.629395,41.891407,United States
14,261473,-5,0,-80.47174,42.544205,Canada
15,335326,-5,0,-77.00174,41.25753,United States
16,190532,-5,0,-84.340454,48.779823,Canada
17,336015,-5,0,-76.81903,44.24969,Canada
18,15713,-6,0,-93.335205,47.15509,United States
19,239530,-5,0,-81.65344,46.87251,Canada
20,128216,-5,0,-87.62509,48.393223,Canada
21,85982,-5,0,-89.87094,48.341885,Canada
22,171895,-5,0,-85.04733,45.823357,United States
23,16244,-6,0,-93.32181,47.21327,United States
24,128041,-6,0,-87.18558,45.148064,United States
25,366151,-5,0,-75.27829,44.941475,Canada
26,264298,-5,0,-80.36688,45.989475,Canada
27,64960,-6,0,-89.526215,40.31091,United States
28,107682,-5,0,-88.89148,49.3916,Canada
29,324236,-5,0,-77.52191,41.233738,United States
30,8096,-6,0,-92.73767,42.977806,United States
31,34232,-6,0,-92.55524,47.97667,United States
32,139496,-5,0,-86.27344,42.195816,United States
33,55060,-6,0,-90.40045,42.700657,United States
34,254833,-5,0,-80.86072,46.713383,Canada
35,144219,-5,0,-85.99371,41.6711,United States
36,64662,-6,0,-90.26572,44.553032,United States
37,335716,-5,0,-76.591675,48.51164,Canada
38,172297,-5,0,-84.818085,43.482216,United States
39,307868,-5,0,-78.287415,41.248806,United States
40,134055,-5,0,-87.398315,48.98656,Canada
41,216078,-5,0,-82.653015,42.7548,United States
42,151846,-5,0,-86.09073,46.052917,United States
43,233697,-5,0,-81.936584,46.40237,Canada
44,231245,-5,0,-82.21185,49.897236,Canada
45,184917,-5,0,-84.13431,42.541008,United States
46,335988,-5,0,-76.84668,43.74732,Canada
47,13897,-6,0,-92.433716,42.881195,United States
48,171363,-5,0,-85.06726,45.74781,United States
49,311376,-5,0,-77.92117,47.573624,Canada
50,235468,-5,0,-81.9805,49.882553,Canada
51,103508,-6,0,-87.76807,40.530678,United States
52,26564,-6,0,-91.812225,42.856583,United States
53,212112,-5,0,-83.109375,47.551083,Canada
54,161080,-5,0,-85.14331,41.063766,United States
55,43026,-6,0,-91.37097,44.671635,United States
56,200199,-5,0,-83.37091,42.008976,United States
57,216187,-5,0,-82.74777,44.782997,United States
58,187929,-5,0,-84.54059,49.46163,Canada
59,61007,-6,0,-90.58838,45.29335,United States
60,8057,-6,0,-92.58243,42.26134,United States
61,137168,-5,0,-87.091064,47.97747,Canada
62,89688,-5,0,-89.710266,48.542458,Canada
63,25938,-6,0,-91.48187,41.05133,United States
64,49543,-6,0,-91.75345,48.039894,United States
65,169225,-5,0,-85.129395,45.259697,United States
66,368383,-5,0,-74.97516,47.16812,Canada
67,98857,-6,0,-88.23993,42.381092,United States
68,191114,-5,0,-84.395935,49.783287,Canada
69,13496,-6,0,-92.97925,45.213337,United States
70,298121,-5,0,-78.63687,46.559563,Canada
71,325657,-5,0,-77.15192,48.023354,Canada
72,133001,-5,0,-87.46002,49.02014,Canada
73,51114,-6,0,-91.61847,47.808594,United States
74,221916,-5,0,-82.397156,43.31926,United States
75,167399,-5,0,-84.82309,40.7626,United States
76,11673,-6,0,-92.105774,40.812466,United States
77,199373,-5,0,-83.68573,46.285397,Canada
78,41213,-6,0,-90.6532,40.44525,United States
79,7871,-6,0,-94.11426,48.538197,United States
80,108744,-5,0,-88.85361,49.50655,Canada
81,34277,-6,0,-92.75369,48.803596,Canada
82,339466,-5,0,-76.32568,49.509136,Canada
83,292738,-5,0,-78.94452,44.643875,Canada
84,136645,-5,0,-87.131134,48.06852,Canada
85,303666,-5,0,-78.47467,41.66048,United States
86,104261,-6,0,-88.31305,44.696243,United States
87,124613,-5,0,-86.76407,40.320774,United States
88,67163,-6,0,-89.69705,41.997673,United States
89,238583,-5,0,-81.77368,48.90021,Canada
90,166132,-5,0,-85.42212,46.646454,United States
91,23490,-6,0,-92.32864,44.57002,United States
92,371092,-5,0,-74.713806,48.443977,Canada
93,274691,-5,0,-79.8396,42.87998,Canada
94,232986,-5,0,-81.84943,42.994736,Canada
95,236064,-5,0,-81.64963,41.32412,United States
96,126528,-5,0,-87.438446,46.4601,United States
97,102812,-5,0,-88.77823,47.19071,United States
98,19599,-6,0,-91.76337,40.963974,United States
99,316024,-5,0,-77.75342,45.632706,Canada
