SiteID,Site Timezone,Data Timezone,Longitude,Latitude,Country
86821,-6,0,-89.12451,44.333202,United States
Year,Month,Day,Hour,Minute,wind direction at 80m (deg),wind speed at 80m (m/s)
2010,1,1,0,30,305.06,12.33
2010,1,1,1,30,314.33,11.53
2010,1,1,2,30,322.16,11.700000000000001
2010,1,1,3,30,321.43,11.75
2010,1,1,4,30,322.06,11.450000000000001
2010,1,1,5,30,321.38,11.84
2010,1,1,6,30,320,11.94
2010,1,1,7,30,327.88,11.26
2010,1,1,8,30,334.93,10.39
2010,1,1,9,30,333.04,9.99
2010,1,1,10,30,332.76,10.15
2010,1,1,11,30,331.43,9.99
2010,1,1,12,30,335.01,10.01
2010,1,1,13,30,337.11,9.72
2010,1,1,14,30,332.04,8.71
2010,1,1,15,30,337.21,7.96
2010,1,1,16,30,338.07,7.45
2010,1,1,17,30,333.97,7.09
2010,1,1,18,30,326.5,6.86
2010,1,1,19,30,327.17,7.0200000000000005
2010,1,1,20,30,325.66,7.3100000000000005
2010,1,1,21,30,322.41,8.86
2010,1,1,22,30,313.17,9.49
2010,1,1,23,30,319.93,11.75
2010,1,2,0,30,328.66,13.040000000000001
2010,1,2,1,30,332.97,13.42
2010,1,2,2,30,332.89,12.92
2010,1,2,3,30,331.51,12.77
2010,1,2,4,30,332.29,12.48
2010,1,2,5,30,335.35,11.97
2010,1,2,6,30,337.95,11.790000000000001
2010,1,2,7,30,336.19,11.67
2010,1,2,8,30,333.74,11.74
2010,1,2,9,30,329.38,11.69
2010,1,2,10,30,328.01,11.950000000000001
2010,1,2,11,30,325.66,12.26
2010,1,2,12,30,328.64,12.450000000000001
2010,1,2,13,30,329.98,11.73
2010,1,2,14,30,328.24,11.55
2010,1,2,15,30,331.94,9.42
2010,1,2,16,30,331.18,7.36
2010,1,2,17,30,336.59000000000003,6.84
2010,1,2,18,30,345.90000000000003,7.63
2010,1,2,19,30,338.13,7.57
2010,1,2,20,30,339.66,7.73
2010,1,2,21,30,335.42,7
2010,1,2,22,30,345.21,9.34
2010,1,2,23,30,343.11,8.47
2010,1,3,0,30,356.51,9.1
2010,1,3,1,30,357.1,10.1
2010,1,3,2,30,348.5,9.76
2010,1,3,3,30,352.7,11.03
2010,1,3,4,30,356.08,12.05
2010,1,3,5,30,356.11,12.21
2010,1,3,6,30,355.5,12.35
2010,1,3,7,30,357.07,12.51
2010,1,3,8,30,1.03,12.71
