SiteID,1686275,Site Timezone,-6,Data Timezone,-6,Longitude,-87.7298278809,Latitude,43.8935852051
Year,Month,Day,Hour,Minute,power - DEPRECATED,wind direction at 100m (deg),wind speed at 100m (m/s),air temperature at 100m (C),air pressure at 100m (Pa),density - DEPRECATED
2009,1,1,0,30,N/A,197.77,5.67,-12.16,99030,N/A
2009,1,1,1,30,N/A,185.24,6.69,-11.92,98960,N/A
2009,1,1,2,30,N/A,183.8,7.140000000000001,-11.72,98880,N/A
2009,1,1,3,30,N/A,186.73,8.44,-11.370000000000001,98800,N/A
2009,1,1,4,30,N/A,181.66,8.040000000000001,-10.49,98730,N/A
2009,1,1,5,30,N/A,186.54,8.8,-9.66,98640,N/A
2009,1,1,6,30,N/A,188.04,9.68,-9.07,98580,N/A
2009,1,1,7,30,N/A,186.01,10.18,-8.83,98510,N/A
2009,1,1,8,30,N/A,184.48,9.71,-8.69,98430,N/A
2009,1,1,9,30,N/A,186.86,10.17,-8.36,98310,N/A
2009,1,1,10,30,N/A,186,10.53,-8.07,98160,N/A
2009,1,1,11,30,N/A,183.04,10.93,-7.37,98010,N/A
2009,1,1,12,30,N/A,184.70000000000002,10.31,-6.93,97870,N/A
2009,1,1,13,30,N/A,183.81,9.94,-6.33,97750,N/A
2009,1,1,14,30,N/A,186.44,10.15,-5.37,97640,N/A
2009,1,1,15,30,N/A,185.74,10.07,-5.0600000000000005,97520,N/A
2009,1,1,16,30,N/A,188.19,10.23,-4.88,97460,N/A
2009,1,1,17,30,N/A,190.81,10.05,-4.7,97390,N/A
2009,1,1,18,30,N/A,198.36,9.59,-4.66,97340,N/A
2009,1,1,19,30,N/A,199.92000000000002,9.91,-4.69,97280,N/A
2009,1,1,20,30,N/A,210.37,11.01,-5.08,97200,N/A
2009,1,1,21,30,N/A,223.07,11,-5.53,97130,N/A
2009,1,1,22,30,N/A,240.20000000000002,11.450000000000001,-5.2700000000000005,97050,N/A
2009,1,1,23,30,N/A,254.52,11.39,-5.22,97010,N/A
2009,1,2,0,30,N/A,262.65,8.97,-5.69,97020,N/A
2009,1,2,1,30,N/A,264.54,8.34,-5.64,97030,N/A
2009,1,2,2,30,N/A,269.64,6.26,-6.1000000000000005,97100,N/A
2009,1,2,3,30,N/A,252.3,6.09,-6.51,97090,N/A
2009,1,2,4,30,N/A,273.32,6.03,-7.58,97170,N/A
2009,1,2,5,30,N/A,290.96,9.16,-9.08,97260,N/A
2009,1,2,6,30,N/A,285.39,10.4,-10.36,97350,N/A
2009,1,2,7,30,N/A,286.6,9.18,-10.870000000000001,97430,N/A
2009,1,2,8,30,N/A,292.77,9.53,-11.38,97540,N/A
2009,1,2,9,30,N/A,291.86,9.64,-11.15,97590,N/A
