,Year,Month,Day,Hour,Minute,wind direction at 80m (deg),wind speed at 80m (m/s)
0,2012,5,8,0,00,337.6,4.5
1,2012,5,8,0,10,335.3,3.9
2,2012,5,8,0,20,339.7,3.4
3,2012,5,8,0,30,348,3.2
4,2012,5,8,0,40,351.3,2.8
5,2012,5,8,0,50,356.8,2.7
6,2012,5,8,1,00,355.8,2.7
7,2012,5,8,1,10,356.9,2.8
8,2012,5,8,1,20,350.8,2.4
9,2012,5,8,1,30,358.7,2.3
10,2012,5,8,1,40,7,2.5
11,2012,5,8,1,50,12.2,2.3
12,2012,5,8,2,00,19.7,1.9
13,2012,5,8,2,10,32.5,1.7
14,2012,5,8,2,20,50.5,1.4
15,2012,5,8,2,30,66.6,1.3
16,2012,5,8,2,40,80.9,1.3
17,2012,5,8,2,50,95,1.3
18,2012,5,8,3,00,110.2,1.5
19,2012,5,8,3,10,113,1.6
20,2012,5,8,3,20,119.3,1.6
21,2012,5,8,3,30,134.5,1.6
22,2012,5,8,3,40,143.6,1.4
23,2012,5,8,3,50,144.8,1.6
24,2012,5,8,4,00,158.3,2
25,2012,5,8,4,10,163.7,1.9
26,2012,5,8,4,20,173.1,2
27,2012,5,8,4,30,166.9,2.3
28,2012,5,8,4,40,170.1,2.5
29,2012,5,8,4,50,172.5,2.5
30,2012,5,8,5,00,176.7,2.7
31,2012,5,8,5,10,182.8,2.9
32,2012,5,8,5,20,188.1,3
33,2012,5,8,5,30,197.3,3
34,2012,5,8,5,40,202.1,3.2
35,2012,5,8,5,50,201.6,3
36,2012,5,8,6,00,201.9,3.2
37,2012,5,8,6,10,198.3,3.3
38,2012,5,8,6,20,204.6,3.5
39,2012,5,8,6,30,193.5,3.3
40,2012,5,8,6,40,193.4,3.1
41,2012,5,8,6,50,194.6,3.4
42,2012,5,8,7,00,197.6,3.8
43,2012,5,8,7,10,202.8,4.1
44,2012,5,8,7,20,198.7,4.7
45,2012,5,8,7,30,201.6,5.8
46,2012,5,8,7,40,202.9,5.7
47,2012,5,8,7,50,199,5.3
48,2012,5,8,8,00,201.8,5.8
49,2012,5,8,8,10,203.1,6.2
50,2012,5,8,8,20,209.6,6.1
51,2012,5,8,8,30,207.3,6.1
52,2012,5,8,8,40,215.5,6.2
53,2012,5,8,8,50,224.2,5.6
54,2012,5,8,9,00,241.7,3.8
55,2012,5,8,9,10,267,3.4
56,2012,5,8,9,20,286.1,3.6
57,2012,5,8,9,30,314.9,4
58,2012,5,8,9,40,322,4.7
59,2012,5,8,9,50,323.8,4.7
60,2012,5,8,10,00,333.8,4.5
61,2012,5,8,10,10,330.6,4.9
62,2012,5,8,10,20,319.6,5.7
63,2012,5,8,10,30,313.8,7.4
64,2012,5,8,10,40,314.3,8.1
65,2012,5,8,10,50,316.3,7.8
66,2012,5,8,11,00,324.5,6.9
67,2012,5,8,11,10,320.5,6.9
68,2012,5,8,11,20,317.7,6.8
69,2012,5,8,11,30,318.8,7.4
70,2012,5,8,11,40,325.1,8.2
71,2012,5,8,11,50,328.6,7.3
72,2012,5,8,12,00,319.8,7.9
73,2012,5,8,12,10,311.8,8.3
74,2012,5,8,12,20,312.9,8.5
75,2012,5,8,12,30,310.8,8.6
76,2012,5,8,12,40,307,9.4
77,2012,5,8,12,50,306.3,9.8
78,2012,5,8,13,00,303.5,10.4
79,2012,5,8,13,10,308.6,9.1
80,2012,5,8,13,20,309.2,8.4
81,2012,5,8,13,30,300.2,9
82,2012,5,8,13,40,298.8,10
83,2012,5,8,13,50,297.7,9.6
84,2012,5,8,14,00,298.3,9.2
85,2012,5,8,14,10,297.7,9.4
86,2012,5,8,14,20,301.6,9
87,2012,5,8,14,30,311.1,8.1
88,2012,5,8,14,40,314.3,7.3
89,2012,5,8,14,50,305,7.6
90,2012,5,8,15,00,300.2,7.8
91,2012,5,8,15,10,299.3,8.2
92,2012,5,8,15,20,296.8,8.6
93,2012,5,8,15,30,299.1,8.1
94,2012,5,8,15,40,299.5,7
95,2012,5,8,15,50,299.1,6.8
96,2012,5,8,16,00,296.5,7.5
97,2012,5,8,16,10,296.3,7.5
98,2012,5,8,16,20,294.3,6.9
99,2012,5,8,16,30,289.4,7.1
100,2012,5,8,16,40,286.7,6.9
101,2012,5,8,16,50,286.2,6.9
102,2012,5,8,17,00,285.3,6.5
103,2012,5,8,17,10,282.5,6.3
104,2012,5,8,17,20,275.1,6.1
105,2012,5,8,17,30,269.4,5.7
106,2012,5,8,17,40,264.6,5.2
107,2012,5,8,17,50,260.1,4.9
108,2012,5,8,18,00,255.3,5
109,2012,5,8,18,10,253.3,4.9
110,2012,5,8,18,20,253.8,5.2
111,2012,5,8,18,30,253.8,5.1
112,2012,5,8,18,40,257.3,4.7
113,2012,5,8,18,50,259.1,4.6
114,2012,5,8,19,00,252.8,4.4
115,2012,5,8,19,10,248.8,4.1
116,2012,5,8,19,20,244,4.1
117,2012,5,8,19,30,246.2,4.1
118,2012,5,8,19,40,234.4,4.2
119,2012,5,8,19,50,235.3,4.2
120,2012,5,8,20,00,236.7,4.4
121,2012,5,8,20,10,234,4.4
122,2012,5,8,20,20,231.1,5
123,2012,5,8,20,30,226,5.4
124,2012,5,8,20,40,218.9,6.1
125,2012,5,8,20,50,220.6,6.3
126,2012,5,8,21,00,219.2,7
127,2012,5,8,21,10,213.8,7.5
128,2012,5,8,21,20,210.3,7.8
129,2012,5,8,21,30,209.8,7.2
130,2012,5,8,21,40,209.9,6.9
131,2012,5,8,21,50,212.7,6.9
132,2012,5,8,22,00,211.4,6.8
133,2012,5,8,22,10,208.7,6.8
134,2012,5,8,22,20,208.1,6.7
135,2012,5,8,22,30,209.4,6.5
136,2012,5,8,22,40,203,7.2
137,2012,5,8,22,50,201.8,6.4
138,2012,5,8,23,00,198.3,6.6
139,2012,5,8,23,10,196.4,6.8
140,2012,5,8,23,20,196.4,7.4
141,2012,5,8,23,30,198.2,7
142,2012,5,8,23,40,201,7
143,2012,5,8,23,50,203.2,6.5
144,2012,5,9,0,00,205.4,6.8
145,2012,5,9,0,10,208.8,7
146,2012,5,9,0,20,212.2,6.3
147,2012,5,9,0,30,211.8,7
148,2012,5,9,0,40,215,6.7
149,2012,5,9,0,50,223.9,6.9
150,2012,5,9,1,00,260.5,8.3
151,2012,5,9,1,10,282.9,8.2
152,2012,5,9,1,20,297,6.9
153,2012,5,9,1,30,323.8,5.3
154,2012,5,9,1,40,338,5.5
155,2012,5,9,1,50,340.5,5.8
156,2012,5,9,2,00,341.6,6.3
157,2012,5,9,2,10,308.9,7
158,2012,5,9,2,20,285.5,10.6
159,2012,5,9,2,30,286.9,9.1
160,2012,5,9,2,40,287.3,6.2
161,2012,5,9,2,50,319.8,3.9
162,2012,5,9,3,00,319.8,4.3
163,2012,5,9,3,10,317.6,4.8
164,2012,5,9,3,20,324,5.8
165,2012,5,9,3,30,328.8,5.1
166,2012,5,9,3,40,343.4,5.8
167,2012,5,9,3,50,0.1,6.5
168,2012,5,9,4,00,26.1,8.7
169,2012,5,9,4,10,23.2,8.2
170,2012,5,9,4,20,23.2,7.5
171,2012,5,9,4,30,18.7,6.5
172,2012,5,9,4,40,14.8,6.7
173,2012,5,9,4,50,11.5,6.2
174,2012,5,9,5,00,7.3,5.7
175,2012,5,9,5,10,3.8,5.5
176,2012,5,9,5,20,9.1,5.7
177,2012,5,9,5,30,14.3,5.3
178,2012,5,9,5,40,9.1,5.5
179,2012,5,9,5,50,10.8,5.7
180,2012,5,9,6,00,9,5.8
181,2012,5,9,6,10,2.4,7.4
182,2012,5,9,6,20,7,9
183,2012,5,9,6,30,15.2,8.5
184,2012,5,9,6,40,14.1,8.5
185,2012,5,9,6,50,14.5,8.5
186,2012,5,9,7,00,15.7,8.3
187,2012,5,9,7,10,21.8,8.7
188,2012,5,9,7,20,18.4,10.2
189,2012,5,9,7,30,19,9.7
190,2012,5,9,7,40,22.6,8.4
191,2012,5,9,7,50,19.6,8.5
192,2012,5,9,8,00,15.1,8.6
193,2012,5,9,8,10,12.8,8.3
194,2012,5,9,8,20,19.5,8.1
195,2012,5,9,8,30,22.6,8
196,2012,5,9,8,40,21.3,8.2
197,2012,5,9,8,50,22.1,7.7
198,2012,5,9,9,00,24,7.4
199,2012,5,9,9,10,28.6,8.1
200,2012,5,9,9,20,31.3,8.3
201,2012,5,9,9,30,28.3,7.8
202,2012,5,9,9,40,22.9,7.4
203,2012,5,9,9,50,7.6,6.6
204,2012,5,9,10,00,14.2,6.4
205,2012,5,9,10,10,15.9,6.3
206,2012,5,9,10,20,15.1,6.3
207,2012,5,9,10,30,8.3,6.7
208,2012,5,9,10,40,6.5,6.7
209,2012,5,9,10,50,4.1,7.6
210,2012,5,9,11,00,2.9,7.6
211,2012,5,9,11,10,359,8.4
212,2012,5,9,11,20,358.8,8.7
213,2012,5,9,11,30,3.4,8.1
214,2012,5,9,11,40,0.2,7.4
215,2012,5,9,11,50,355.3,7
216,2012,5,9,12,00,349.8,6.5
217,2012,5,9,12,10,349.1,7
218,2012,5,9,12,20,348,7.6
219,2012,5,9,12,30,350.9,7.9
220,2012,5,9,12,40,349.2,8.5
221,2012,5,9,12,50,349.9,8.4
222,2012,5,9,13,00,334.5,7.7
223,2012,5,9,13,10,331.3,8.2
224,2012,5,9,13,20,340.5,9.8
225,2012,5,9,13,30,346,9.7
226,2012,5,9,13,40,347.5,9.4
227,2012,5,9,13,50,351.8,9.6
228,2012,5,9,14,00,359.5,8.9
229,2012,5,9,14,10,349.8,6.1
230,2012,5,9,14,20,348.9,8.6
231,2012,5,9,14,30,353.1,9.5
232,2012,5,9,14,40,355.7,10.4
233,2012,5,9,14,50,354.7,10.8
234,2012,5,9,15,00,352.1,10.1
235,2012,5,9,15,10,349.4,9.9
236,2012,5,9,15,20,349.7,10.3
237,2012,5,9,15,30,350.6,11.1
238,2012,5,9,15,40,352.5,11.5
239,2012,5,9,15,50,351.2,11.9
240,2012,5,9,16,00,352,11.7
241,2012,5,9,16,10,350.5,11.2
242,2012,5,9,16,20,350.1,10.8
243,2012,5,9,16,30,349.3,10.9
244,2012,5,9,16,40,352.7,10.8
245,2012,5,9,16,50,355.7,10.3
246,2012,5,9,17,00,353.4,10.1
247,2012,5,9,17,10,355.6,10.2
248,2012,5,9,17,20,353.5,9.9
249,2012,5,9,17,30,350.5,10.6
250,2012,5,9,17,40,351.8,10.9
251,2012,5,9,17,50,356.5,11.6
252,2012,5,9,18,00,0.5,11.9
253,2012,5,9,18,10,1,11.7
254,2012,5,9,18,20,2.8,11.6
255,2012,5,9,18,30,7.4,11.6
256,2012,5,9,18,40,7.3,10.7
257,2012,5,9,18,50,10,10.6
258,2012,5,9,19,00,10.9,11.1
259,2012,5,9,19,10,8.4,11
260,2012,5,9,19,20,8.1,10.5
261,2012,5,9,19,30,5.6,9.9
262,2012,5,9,19,40,4.9,10.5
263,2012,5,9,19,50,7,10.2
264,2012,5,9,20,00,10.7,10
265,2012,5,9,20,10,10.1,9.9
266,2012,5,9,20,20,10,10
267,2012,5,9,20,30,6.9,9.1
268,2012,5,9,20,40,8.8,7.8
269,2012,5,9,20,50,12.6,7.3
270,2012,5,9,21,00,10.4,7.2
271,2012,5,9,21,10,8.8,6.9
272,2012,5,9,21,20,6,6.1
273,2012,5,9,21,30,2.2,5.6
274,2012,5,9,21,40,357.7,4.9
275,2012,5,9,21,50,359.6,4.6
276,2012,5,9,22,00,3,4.2
277,2012,5,9,22,10,8.2,4
278,2012,5,9,22,20,8.8,3.9
279,2012,5,9,22,30,11.6,4.4
280,2012,5,9,22,40,11.9,4
281,2012,5,9,22,50,5.5,3.5
282,2012,5,9,23,00,7.9,3.3
283,2012,5,9,23,10,9.8,3.3
284,2012,5,9,23,20,15.8,3.2
285,2012,5,9,23,30,21.6,3.4
286,2012,5,9,23,40,18.6,3.3
287,2012,5,9,23,50,17.3,3.3
288,2012,5,10,0,00,18.8,3.2
289,2012,5,10,0,10,20.5,2.9
290,2012,5,10,0,20,21.9,2.7
291,2012,5,10,0,30,21,2.3
292,2012,5,10,0,40,20.1,1.8
293,2012,5,10,0,50,26.2,1.8
294,2012,5,10,1,00,22.3,1.4
295,2012,5,10,1,10,16.8,1.1
296,2012,5,10,1,20,29.2,1
297,2012,5,10,1,30,36.3,0.7
298,2012,5,10,1,40,27.9,0.7
299,2012,5,10,1,50,42.4,1
300,2012,5,10,2,00,42.9,0.9
301,2012,5,10,2,10,41.4,1.4
302,2012,5,10,2,20,44.7,1.6
303,2012,5,10,2,30,52.9,2.1
304,2012,5,10,2,40,54.2,2.7
305,2012,5,10,2,50,50.6,3
306,2012,5,10,3,00,49.5,3.4
307,2012,5,10,3,10,50,3.5
308,2012,5,10,3,20,50.5,3.3
309,2012,5,10,3,30,50.2,2.6
310,2012,5,10,3,40,47.7,2.9
311,2012,5,10,3,50,44.7,3.2
312,2012,5,10,4,00,41.8,3.5
313,2012,5,10,4,10,46.2,3.9
314,2012,5,10,4,20,49.2,4
315,2012,5,10,4,30,52.3,4.1
316,2012,5,10,4,40,52.4,4.3
317,2012,5,10,4,50,53.5,4.7
318,2012,5,10,5,00,54.4,4.6
319,2012,5,10,5,10,58.4,4.6
320,2012,5,10,5,20,61.2,4.7
321,2012,5,10,5,30,61.3,4.9
322,2012,5,10,5,40,66.3,4.4
323,2012,5,10,5,50,65.5,4.2
324,2012,5,10,6,00,64.6,3.8
325,2012,5,10,6,10,57.8,3.6
326,2012,5,10,6,20,53,3.4
327,2012,5,10,6,30,55.2,3.1
328,2012,5,10,6,40,56.5,3
329,2012,5,10,6,50,48.1,3.4
330,2012,5,10,7,00,44.6,3.2
331,2012,5,10,7,10,44.1,2.9
332,2012,5,10,7,20,43.6,2.8
333,2012,5,10,7,30,40.6,2.8
334,2012,5,10,7,40,36.9,2.8
